N;drug_name;event_name;drug_id;event_id
5323;butalbital;Dysphagia;1139699;31317
3423;Glucose;Disorder of lung;1560524;257907
3349;Chlorthalidone;Chronic bronchitis;1395058;255841
3177;Morphine;Cataract;1110410;375545
1971;Ciprofloxacin;Infection AND/OR inflammatory reaction due to internal prosthetic device, implant AND/OR graft;1797513;440276
1828;Midazolam;Schizophrenia;708298;435783
1521;butalbital;Combined form of senile cataract;1139699;376400
1434;Epoetin Alfa;Mature cataract;1301125;377285
1416;Phenylephrine;Hemorrhagic disorder due to circulating anticoagulants;1135766;432869
1359;Clindamycin;Chronic kidney disease stage 4;997881;443612
1304;Lisinopril;Open wound of finger without complication;1308216;77139
1263;Chlorpropamide;Peripheral circulatory disorder associated with type 1 diabetes mellitus;1594973;318712
1209;Nystatin;Dysthymia;922570;433440
1179;Triamcinolone;Infectious disease carrier;903963;4280828
1123;Ciprofloxacin;Senile dementia with delusion;1797513;380986
946;atorvastatin;Osteomyelitis;1545958;141663
931;Glipizide;Tenosynovitis of foot;1560171;443111
898;sennosides, USP;Type 1 diabetes mellitus;938268;201254
874;Atenolol;Urinary bladder stone;1314002;193520
859;Pramipexole;Diverticular disease of colon;720810;81611
848;Loxapine;Paranoid schizophrenia;792263;433450
723;Estradiol;Acute exacerbation of chronic asthmatic bronchitis;1548195;40481763
672;Theophylline;Thyrotoxicosis from ectopic thyroid nodule with crisis;1237049;137519
671;Triamterene;Myotonic cataract;904542;372905
625;Imipramine;Intervertebral disc disorder of lumbar region with myelopathy;778268;141104
620;Chlorpropamide;Calcaneal spur;1594973;73560
584;Glucose;Blepharitis;1560524;378425
558;Folic Acid;Displacement of lumbar intervertebral disc without myelopathy;19111620;80189
467;Morphine;Portal hypertension;1110410;192680
466;oxaprozin;Right upper quadrant pain;1118045;198263
428;Glucose;Primary malignant neoplasm of unspecified site;1560524;436919
427;Spironolactone;Aneurysmal bone cyst;970250;74737
421;Vancomycin;Heritable pulmonary arterial hypertension;1707687;44783618
420;Trimethoprim;Aseptic necrosis of head AND/OR neck of femur;1705674;439120
418;Sodium Phosphate, Monobasic;Diverticular disease of colon;990499;81611
381;Methyclothiazide;Systemic lupus erythematosus;905273;257628
372;Water;Status migrainosus;19010309;377844
371;Trimethoprim;Acute exacerbation of intrinsic asthma;1705674;45773005
359;Promethazine;Closed fracture of patella;1153013;436539
346;Vitamin B6;Walking disability;1353228;439405
319;Atropine;Recurrent major depressive episodes, mild;914335;438998
317;Labetalol;Joint finding;1386957;77960
312;donepezil;Thyrotoxicosis without goiter OR other cause;715997;133727
295;Spironolactone;Emotional upset;970250;439791
262;Ondansetron;Emotional upset;1000560;439791
248;Isoetharine;Ulcer of lower extremity;1181809;197304
243;Sotalol;Basilar artery syndrome;1370109;374055
241;Cefazolin;Arteriosclerotic dementia with depression;1771162;374326
236;Betamethasone;Complication of gastrostomy;920458;434675
235;Amitriptyline;Endometrial hyperplasia;710062;200775
234;Diclofenac;Juvenile osteochondrosis of foot;1124300;435903
233;diphtheria toxoid vaccine, inactivated;Closed intertrochanteric fracture;529303;136834
224;Methylprednisolone;Arthropathy associated with non-infective gastrointestinal disorder;1506270;75035
222;Metoclopramide;Benign neoplasm of skin of lower limb;906780;444445
211;Piroxicam;Pure red cell aplasia;1146810;140065
211;ferrous gluconate;Carcinoma in situ of prostate;1396012;200970
201;Dexamethasone;Villonodular synovitis of the upper arm;1518254;440499
196;candesartan;Astigmatism;1351557;378424
195;nabumetone;Intervertebral disc disorder of lumbar region with myelopathy;1113648;141104
193;Metoprolol;Bile duct calculus with acute cholecystitis and no obstruction;1307046;197019
190;Thiothixene;Urinary tract obstruction;700465;194406
188;Dextromethorphan;Hypertensive disorder;1119510;316866
180;metaxalone;Tenderness of left upper quadrant of abdomen;780369;40490984
177;Scopolamine;Diastolic heart failure;965748;443587
167;Naproxen;Congenital spondylolysis of lumbosacral region;1115008;78243
166;orlistat;Disseminated idiopathic skeletal hyperostosis;741530;77961
