N,drug_name,event_name,drug_id,event_id,comment
-1,Naphazoline: Naphazoline,Mydriasis: Dilated pupil (finding),914533,37125009,
-1,Cycloserine: Cycloserine,Acute psychosis: Psychotic disorder (disorder),1710446,69322001,
-1,Terlipressin: terlipressin,Skin necrosis: Skin necrosis (disorder),19119253,95347000,
-1,Fosamprenavir: fosamprenavir,Lipodystrophy acquired: Lipodystrophy (disorder),1736829,71325002,
-1,Perampanel: perampanel,Status epilepticus: Status epilepticus (disorder),42904177,230456007,
-1,Zuclopenthixol: Zuclopenthixol,Torticollis: Spasmodic torticollis (disorder)|Torticollis (disorder),19010886,74333002|70070008,
-1,Amantadine: Amantadine,Gambling disorder: Compulsive gambling (disorder),19087090,18085000,
-1,Dequalinium: Dequalinium,Vaginal haemorrhage: Bleeding from vagina (finding),19016063,289530006,
-1,Etravirine: etravirine,Lipodystrophy acquired: Lipodystrophy (disorder),1758536,71325002,
-1,Desogestrel: Desogestrel,Vulvovaginal dryness: Vaginal dryness (disorder),1588000,31908003,
-1,Povidone-iodine: Povidone-Iodine,Chemical burn: Chemical burn (disorder),1750087,426284001,
-1,Ertapenem: ertapenem,Status epilepticus: Status epilepticus (disorder),1717963,230456007,
-1,Sulfur hexafluoride: Sulfur Hexafluoride,Presyncope: Vasovagal syncope (disorder)|Near syncope (disorder),45892833,398665005|427461000,
-1,Cyclopentolate: Cyclopentolate,Photophobia: Photophobia (finding)|Eyes sensitive to light (finding),910232,409668002|246622003,
-1,Estriol: Estriol,Breast pain: Pain of breast (finding),19049038,53430007,
-1,Etofenamate: etofenamate,Application site erythema: Application site erythema (disorder),19095561,863892004,
-1,Lercanidipine: lercanidipine,Gingival hypertrophy: Hyperplasia of gingiva (disorder),19015802,441798003,
-1,Acitretin: Acitretin,Paronychia: Paronychia (disorder),929638,71906005,
-1,Pilocarpine: Pilocarpine,Salivary hypersecretion: Excessive salivation (disorder),945286,53827007,
-1,Amorolfine: Amorolfine,Blister: Blister of skin AND/OR mucosa (disorder)|Vesicle (morphologic abnormality),19032619,417237009|82515000,
-1,Oxatomide: oxatomide,Extrapyramidal disorder: Extrapyramidal disease (disorder)|Extrapyramidal sign (finding),19071314,76349003|43378000,
-1,Ivabradine: ivabradine,Impaired driving ability: Difficulty driving a car (finding),46234437,300638003,
