"cohortId","name","cohortName","logicDescription","phenotypeId","atlasId","concept_id","concept_name","concept_code","matching_drug_cohort_id","intersection_drug","intersection_event","fixed_TAR"
5,"generic_target_drug_cohort","Prednisolone (TAR=30)","Prednisolone (TAR=30)",0,0,1550557,"prednisolone","8638",0,0,0,30
10,"generic_target_drug_cohort","Prednisolone (TAR=90)","Prednisolone (TAR=90)",0,0,1550557,"prednisolone","8638",0,0,0,90
15,"generic_target_drug_cohort","Prednisolone (TAR=365)","Prednisolone (TAR=365)",0,0,1550557,"prednisolone","8638",0,0,0,365
20,"generic_comparator_drug_cohort","All drugs (matched to Prednisolone) (TAR=30)","All drugs (matched to Prednisolone) (TAR=30)",0,0,0,"0","0",5,0,0,30
25,"generic_comparator_drug_cohort","All drugs (matched to Prednisolone) (TAR=90)","All drugs (matched to Prednisolone) (TAR=90)",0,0,0,"0","0",10,0,0,90
30,"generic_comparator_drug_cohort","All drugs (matched to Prednisolone) (TAR=365)","All drugs (matched to Prednisolone) (TAR=365)",0,0,0,"0","0",15,0,0,365
36,"346","Encephalomyelitis","Encephalomyelitis",346,0,0,"0","0",0,0,0,0
55,"generic_intersection_drug_event","Prednisolone + Encephalomyelitis (anch. drug start) (TAR=30)","Prednisolone + Encephalomyelitis (anch. drug start) (TAR=30)",0,0,0,"0","0",0,5,36,30
71,"generic_intersection_drug_event","Prednisolone + Encephalomyelitis (anch. drug start) (TAR=90)","Prednisolone + Encephalomyelitis (anch. drug start) (TAR=90)",0,0,0,"0","0",0,10,36,90
87,"generic_intersection_drug_event","Prednisolone + Encephalomyelitis (anch. drug start) (TAR=365)","Prednisolone + Encephalomyelitis (anch. drug start) (TAR=365)",0,0,0,"0","0",0,15,36,365
103,"generic_intersection_drug_event2","Prednisolone + Encephalomyelitis (anch. event start) (TAR=30)","Prednisolone + Encephalomyelitis (anch. event start) (TAR=30)",0,0,0,"0","0",0,5,36,30
119,"generic_intersection_drug_event2","Prednisolone + Encephalomyelitis (anch. event start) (TAR=90)","Prednisolone + Encephalomyelitis (anch. event start) (TAR=90)",0,0,0,"0","0",0,10,36,90
135,"generic_intersection_drug_event2","Prednisolone + Encephalomyelitis (anch. event start) (TAR=365)","Prednisolone + Encephalomyelitis (anch. event start) (TAR=365)",0,0,0,"0","0",0,15,36,365
