"cohortId","name","cohortName","logicDescription","phenotypeId","atlasId","concept_id","concept_name","concept_code","matching_drug_cohort_id","intersection_drug","intersection_event","fixed_TAR"
71,"generic_target_drug_cohort","Heparin (TAR=30)","Heparin (TAR=30)",0,0,1367571,"heparin","5224",0,0,0,30
151,"generic_target_drug_cohort","Teriflunomide (TAR=30)","Teriflunomide (TAR=30)",0,0,42900584,"teriflunomide","1310520",0,0,0,30
42,"generic_target_drug_cohort","Dexamethasone (TAR=30)","Dexamethasone (TAR=30)",0,0,1518254,"Dexamethasone","3264",0,0,0,30
60,"generic_target_drug_cohort","Fluconazole (TAR=30)","Fluconazole (TAR=30)",0,0,1754994,"Fluconazole","4450",0,0,0,30
127,"generic_target_drug_cohort","Prednisone (TAR=30)","Prednisone (TAR=30)",0,0,1551099,"Prednisone","8640",0,0,0,30
62,"generic_target_drug_cohort","Fluorouracil (TAR=30)","Fluorouracil (TAR=30)",0,0,955632,"Fluorouracil","4492",0,0,0,30
50,"generic_target_drug_cohort","Enoxaparin (TAR=30)","Enoxaparin (TAR=30)",0,0,1301025,"Enoxaparin","67108",0,0,0,30
107,"generic_target_drug_cohort","Naproxen (TAR=30)","Naproxen (TAR=30)",0,0,1115008,"Naproxen","7258",0,0,0,30
39,"generic_target_drug_cohort","Cyclophosphamide (TAR=30)","Cyclophosphamide (TAR=30)",0,0,1310317,"Cyclophosphamide","3002",0,0,0,30
152,"generic_target_drug_cohort","Testosterone (TAR=30)","Testosterone (TAR=30)",0,0,1636780,"Testosterone","10379",0,0,0,30
21,"generic_target_drug_cohort","Carboplatin (TAR=30)","Carboplatin (TAR=30)",0,0,1344905,"Carboplatin","40048",0,0,0,30
117,"generic_target_drug_cohort","Oxaliplatin (TAR=30)","Oxaliplatin (TAR=30)",0,0,1318011,"oxaliplatin","32592",0,0,0,30
69,"generic_target_drug_cohort","Glatiramer (TAR=30)","Glatiramer (TAR=30)",0,0,751889,"Glatiramer","214582",0,0,0,30
138,"generic_target_drug_cohort","Rivaroxaban (TAR=30)","Rivaroxaban (TAR=30)",0,0,40241331,"rivaroxaban","1114195",0,0,0,30
41,"generic_target_drug_cohort","Dabigatran (TAR=30)","Dabigatran (TAR=30)",0,0,45775372,"dabigatran","1546356",0,0,0,30
55,"generic_target_drug_cohort","Everolimus (TAR=30)","Everolimus (TAR=30)",0,0,19011440,"everolimus","141704",0,0,0,30
104,"generic_target_drug_cohort","Morphine (TAR=30)","Morphine (TAR=30)",0,0,1110410,"Morphine","7052",0,0,0,30
98,"generic_target_drug_cohort","Methylprednisolone (TAR=30)","Methylprednisolone (TAR=30)",0,0,1506270,"Methylprednisolone","6902",0,0,0,30
130,"generic_target_drug_cohort","Propofol (TAR=30)","Propofol (TAR=30)",0,0,753626,"Propofol","8782",0,0,0,30
54,"generic_target_drug_cohort","Esomeprazole (TAR=30)","Esomeprazole (TAR=30)",0,0,904453,"Esomeprazole","283742",0,0,0,30
51,"generic_target_drug_cohort","Epirubicin (TAR=30)","Epirubicin (TAR=30)",0,0,1344354,"Epirubicin","3995",0,0,0,30
5,"generic_target_drug_cohort","Amiodarone (TAR=30)","Amiodarone (TAR=30)",0,0,1309944,"Amiodarone","703",0,0,0,30
75,"generic_target_drug_cohort","Ifosfamide (TAR=30)","Ifosfamide (TAR=30)",0,0,19078187,"Ifosfamide","5657",0,0,0,30
128,"generic_target_drug_cohort","Pregabalin (TAR=30)","Pregabalin (TAR=30)",0,0,734354,"pregabalin","187832",0,0,0,30
57,"generic_target_drug_cohort","Fentanyl (TAR=30)","Fentanyl (TAR=30)",0,0,1154029,"Fentanyl","4337",0,0,0,30
65,"generic_target_drug_cohort","Fulvestrant (TAR=30)","Fulvestrant (TAR=30)",0,0,1304044,"fulvestrant","282357",0,0,0,30
131,"generic_target_drug_cohort","Propranolol (TAR=30)","Propranolol (TAR=30)",0,0,1353766,"Propranolol","8787",0,0,0,30
68,"generic_target_drug_cohort","Gemcitabine (TAR=30)","Gemcitabine (TAR=30)",0,0,1314924,"gemcitabine","12574",0,0,0,30
86,"generic_target_drug_cohort","Levothyroxine (TAR=30)","Levothyroxine (TAR=30)",0,0,1501700,"levothyroxine","10582",0,0,0,30
149,"generic_target_drug_cohort","Tadalafil (TAR=30)","Tadalafil (TAR=30)",0,0,1336926,"tadalafil","358263",0,0,0,30
38,"generic_target_drug_cohort","Clozapine (TAR=30)","Clozapine (TAR=30)",0,0,800878,"Clozapine","2626",0,0,0,30
157,"generic_target_drug_cohort","Vancomycin (TAR=30)","Vancomycin (TAR=30)",0,0,1707687,"Vancomycin","11124",0,0,0,30
56,"generic_target_drug_cohort","Exemestane (TAR=30)","Exemestane (TAR=30)",0,0,1398399,"exemestane","258494",0,0,0,30
37,"generic_target_drug_cohort","Clopidogrel (TAR=30)","Clopidogrel (TAR=30)",0,0,1322184,"clopidogrel","32968",0,0,0,30
135,"generic_target_drug_cohort","Ribavirin (TAR=30)","Ribavirin (TAR=30)",0,0,1762711,"Ribavirin","9344",0,0,0,30
119,"generic_target_drug_cohort","Paclitaxel (TAR=30)","Paclitaxel (TAR=30)",0,0,1378382,"Paclitaxel","56946",0,0,0,30
113,"generic_target_drug_cohort","Olanzapine (TAR=30)","Olanzapine (TAR=30)",0,0,785788,"olanzapine","61381",0,0,0,30
59,"generic_target_drug_cohort","Fingolimod (TAR=30)","Fingolimod (TAR=30)",0,0,40226579,"fingolimod","1012892",0,0,0,30
155,"generic_target_drug_cohort","Tramadol (TAR=30)","Tramadol (TAR=30)",0,0,1103314,"Tramadol","10689",0,0,0,30
67,"generic_target_drug_cohort","Gabapentin (TAR=30)","Gabapentin (TAR=30)",0,0,797399,"gabapentin","25480",0,0,0,30
10,"generic_target_drug_cohort","Anastrozole (TAR=30)","Anastrozole (TAR=30)",0,0,1348265,"anastrozole","84857",0,0,0,30
110,"generic_target_drug_cohort","Nitrofurantoin (TAR=30)","Nitrofurantoin (TAR=30)",0,0,920293,"Nitrofurantoin","7454",0,0,0,30
148,"generic_target_drug_cohort","Tacrolimus (TAR=30)","Tacrolimus (TAR=30)",0,0,950637,"Tacrolimus","42316",0,0,0,30
91,"generic_target_drug_cohort","Medroxyprogesterone (TAR=30)","Medroxyprogesterone (TAR=30)",0,0,1500211,"Medroxyprogesterone","6691",0,0,0,30
134,"generic_target_drug_cohort","Ranitidine (TAR=30)","Ranitidine (TAR=30)",0,0,961047,"Ranitidine","9143",0,0,0,30
22,"generic_target_drug_cohort","Carfilzomib (TAR=30)","Carfilzomib (TAR=30)",0,0,42873638,"carfilzomib","1302966",0,0,0,30
11,"generic_target_drug_cohort","Apixaban (TAR=30)","Apixaban (TAR=30)",0,0,43013024,"apixaban","1364430",0,0,0,30
47,"generic_target_drug_cohort","Doxorubicin (TAR=30)","Doxorubicin (TAR=30)",0,0,1338512,"Doxorubicin","3639",0,0,0,30
83,"generic_target_drug_cohort","Letrozole (TAR=30)","Letrozole (TAR=30)",0,0,1315946,"letrozole","72965",0,0,0,30
30,"generic_target_drug_cohort","Ciprofloxacin (TAR=30)","Ciprofloxacin (TAR=30)",0,0,1797513,"Ciprofloxacin","2551",0,0,0,30
76,"generic_target_drug_cohort","Imatinib (TAR=30)","Imatinib (TAR=30)",0,0,1304107,"imatinib","282388",0,0,0,30
153,"generic_target_drug_cohort","Ticagrelor (TAR=30)","Ticagrelor (TAR=30)",0,0,40241186,"Ticagrelor","1116632",0,0,0,30
15,"generic_target_drug_cohort","Bisoprolol (TAR=30)","Bisoprolol (TAR=30)",0,0,1338005,"Bisoprolol","19484",0,0,0,30
144,"generic_target_drug_cohort","Simvastatin (TAR=30)","Simvastatin (TAR=30)",0,0,1539403,"Simvastatin","36567",0,0,0,30
96,"generic_target_drug_cohort","Methotrexate (TAR=30)","Methotrexate (TAR=30)",0,0,1305058,"Methotrexate","6851",0,0,0,30
48,"generic_target_drug_cohort","Doxycycline (TAR=30)","Doxycycline (TAR=30)",0,0,1738521,"Doxycycline","3640",0,0,0,30
115,"generic_target_drug_cohort","Ondansetron (TAR=30)","Ondansetron (TAR=30)",0,0,1000560,"Ondansetron","26225",0,0,0,30
147,"generic_target_drug_cohort","Sunitinib (TAR=30)","Sunitinib (TAR=30)",0,0,1336539,"sunitinib","357977",0,0,0,30
101,"generic_target_drug_cohort","Midazolam (TAR=30)","Midazolam (TAR=30)",0,0,708298,"Midazolam","6960",0,0,0,30
156,"generic_target_drug_cohort","Triamcinolone (TAR=30)","Triamcinolone (TAR=30)",0,0,903963,"Triamcinolone","10759",0,0,0,30
123,"generic_target_drug_cohort","Pioglitazone (TAR=30)","Pioglitazone (TAR=30)",0,0,1525215,"pioglitazone","33738",0,0,0,30
126,"generic_target_drug_cohort","Prednisolone (TAR=30)","Prednisolone (TAR=30)",0,0,1550557,"prednisolone","8638",0,0,0,30
97,"generic_target_drug_cohort","Methylphenidate (TAR=30)","Methylphenidate (TAR=30)",0,0,705944,"Methylphenidate","6901",0,0,0,30
114,"generic_target_drug_cohort","Omeprazole (TAR=30)","Omeprazole (TAR=30)",0,0,923645,"Omeprazole","7646",0,0,0,30
133,"generic_target_drug_cohort","Ramipril (TAR=30)","Ramipril (TAR=30)",0,0,1334456,"Ramipril","35296",0,0,0,30
112,"generic_target_drug_cohort","Ofloxacin (TAR=30)","Ofloxacin (TAR=30)",0,0,923081,"Ofloxacin","7623",0,0,0,30
150,"generic_target_drug_cohort","Temozolomide (TAR=30)","Temozolomide (TAR=30)",0,0,1341149,"temozolomide","37776",0,0,0,30
103,"generic_target_drug_cohort","Mitomycin (TAR=30)","Mitomycin (TAR=30)",0,0,1389036,"Mitomycin","632",0,0,0,30
35,"generic_target_drug_cohort","Clindamycin (TAR=30)","Clindamycin (TAR=30)",0,0,997881,"Clindamycin","2582",0,0,0,30
106,"generic_target_drug_cohort","Mycophenolic acid (TAR=30)","Mycophenolic acid (TAR=30)",0,0,19012565,"Mycophenolic Acid","7145",0,0,0,30
88,"generic_target_drug_cohort","Lithium (TAR=30)","Lithium (TAR=30)",0,0,19124477,"Lithium","6448",0,0,0,30
81,"generic_target_drug_cohort","Lamotrigine (TAR=30)","Lamotrigine (TAR=30)",0,0,705103,"lamotrigine","28439",0,0,0,30
7,"generic_target_drug_cohort","Amoxicillin (TAR=30)","Amoxicillin (TAR=30)",0,0,1713332,"Amoxicillin","723",0,0,0,30
40,"generic_target_drug_cohort","Cytarabine (TAR=30)","Cytarabine (TAR=30)",0,0,1311078,"Cytarabine","3041",0,0,0,30
17,"generic_target_drug_cohort","Bupivacaine (TAR=30)","Bupivacaine (TAR=30)",0,0,732893,"Bupivacaine","1815",0,0,0,30
79,"generic_target_drug_cohort","Iron (TAR=30)","Iron (TAR=30)",0,0,1360067,"Iron","90176",0,0,0,30
19,"generic_target_drug_cohort","Capecitabine (TAR=30)","Capecitabine (TAR=30)",0,0,1337620,"capecitabine","194000",0,0,0,30
82,"generic_target_drug_cohort","Lenalidomide (TAR=30)","Lenalidomide (TAR=30)",0,0,19026972,"lenalidomide","342369",0,0,0,30
108,"generic_target_drug_cohort","Nicotine (TAR=30)","Nicotine (TAR=30)",0,0,718583,"Nicotine","7407",0,0,0,30
95,"generic_target_drug_cohort","Metformin (TAR=30)","Metformin (TAR=30)",0,0,1503297,"Metformin","6809",0,0,0,30
46,"generic_target_drug_cohort","Docetaxel (TAR=30)","Docetaxel (TAR=30)",0,0,1315942,"docetaxel","72962",0,0,0,30
111,"generic_target_drug_cohort","Octreotide (TAR=30)","Octreotide (TAR=30)",0,0,1522957,"Octreotide","7617",0,0,0,30
45,"generic_target_drug_cohort","Diphenhydramine (TAR=30)","Diphenhydramine (TAR=30)",0,0,1129625,"Diphenhydramine","3498",0,0,0,30
85,"generic_target_drug_cohort","Levofloxacin (TAR=30)","Levofloxacin (TAR=30)",0,0,1742253,"Levofloxacin","82122",0,0,0,30
8,"generic_target_drug_cohort","Amphotericin b (TAR=30)","Amphotericin b (TAR=30)",0,0,1717240,"Amphotericin B","732",0,0,0,30
100,"generic_target_drug_cohort","Metoprolol (TAR=30)","Metoprolol (TAR=30)",0,0,1307046,"Metoprolol","6918",0,0,0,30
73,"generic_target_drug_cohort","Ibrutinib (TAR=30)","Ibrutinib (TAR=30)",0,0,44507848,"Ibrutinib","1442981",0,0,0,30
105,"generic_target_drug_cohort","Moxifloxacin (TAR=30)","Moxifloxacin (TAR=30)",0,0,1716903,"moxifloxacin","139462",0,0,0,30
26,"generic_target_drug_cohort","Celecoxib (TAR=30)","Celecoxib (TAR=30)",0,0,1118084,"celecoxib","140587",0,0,0,30
99,"generic_target_drug_cohort","Metoclopramide (TAR=30)","Metoclopramide (TAR=30)",0,0,906780,"Metoclopramide","6915",0,0,0,30
27,"generic_target_drug_cohort","Cetirizine (TAR=30)","Cetirizine (TAR=30)",0,0,1149196,"Cetirizine","20610",0,0,0,30
34,"generic_target_drug_cohort","Clarithromycin (TAR=30)","Clarithromycin (TAR=30)",0,0,1750500,"Clarithromycin","21212",0,0,0,30
14,"generic_target_drug_cohort","Bicalutamide (TAR=30)","Bicalutamide (TAR=30)",0,0,1344381,"bicalutamide","83008",0,0,0,30
72,"generic_target_drug_cohort","Hydrocortisone (TAR=30)","Hydrocortisone (TAR=30)",0,0,975125,"Hydrocortisone","5492",0,0,0,30
