"cohortId","name","cohortName","logicDescription","phenotypeId","atlasId","concept_id","concept_name","concept_code","matching_drug_cohort_id","intersection_drug","intersection_event","fixed_TAR"
5,"generic_target_drug_cohort","Prednisolone (TAR=30)","Prednisolone (TAR=30)",0,0,1550557,"prednisolone","8638",0,0,0,30
10,"generic_target_drug_cohort","Prednisolone (TAR=90)","Prednisolone (TAR=90)",0,0,1550557,"prednisolone","8638",0,0,0,90
15,"generic_target_drug_cohort","Prednisolone (TAR=365)","Prednisolone (TAR=365)",0,0,1550557,"prednisolone","8638",0,0,0,365
20,"generic_comparator_drug_cohort","All drugs (matched to Prednisolone) (TAR=30)","All drugs (matched to Prednisolone) (TAR=30)",0,0,0,"0","0",5,0,0,30
25,"generic_comparator_drug_cohort","All drugs (matched to Prednisolone) (TAR=90)","All drugs (matched to Prednisolone) (TAR=90)",0,0,0,"0","0",10,0,0,90
30,"generic_comparator_drug_cohort","All drugs (matched to Prednisolone) (TAR=365)","All drugs (matched to Prednisolone) (TAR=365)",0,0,0,"0","0",15,0,0,365
32,"349","Anaphylaxis","Anaphylaxis",349,0,0,"0","0",0,0,0,0
52,"generic_intersection_drug_event","Prednisolone + Anaphylaxis (anch. drug start) (TAR=30)","Prednisolone + Anaphylaxis (anch. drug start) (TAR=30)",0,0,0,"0","0",0,5,32,30
68,"generic_intersection_drug_event","Prednisolone + Anaphylaxis (anch. drug start) (TAR=90)","Prednisolone + Anaphylaxis (anch. drug start) (TAR=90)",0,0,0,"0","0",0,10,32,90
84,"generic_intersection_drug_event","Prednisolone + Anaphylaxis (anch. drug start) (TAR=365)","Prednisolone + Anaphylaxis (anch. drug start) (TAR=365)",0,0,0,"0","0",0,15,32,365
100,"generic_intersection_drug_event2","Prednisolone + Anaphylaxis (anch. event start) (TAR=30)","Prednisolone + Anaphylaxis (anch. event start) (TAR=30)",0,0,0,"0","0",0,5,32,30
116,"generic_intersection_drug_event2","Prednisolone + Anaphylaxis (anch. event start) (TAR=90)","Prednisolone + Anaphylaxis (anch. event start) (TAR=90)",0,0,0,"0","0",0,10,32,90
132,"generic_intersection_drug_event2","Prednisolone + Anaphylaxis (anch. event start) (TAR=365)","Prednisolone + Anaphylaxis (anch. event start) (TAR=365)",0,0,0,"0","0",0,15,32,365
