"DEC","cohortId_1a","cohortId_1b","cohortId_1c","cohortId_2a","cohortId_2b","cohortId_2c","cohortId_3","cohortId_4a","cohortId_4b","cohortId_4c","cohortId_5a","cohortId_5b","cohortId_5c"
"9 Amitriptyline + Encephalopathy",1,6,11,16,21,26,36,41,57,73,89,105,121
"14 Melphalan + Pulmonary embolism",4,9,14,19,24,29,40,51,67,83,99,115,131
"16 Melphalan + Deep vein thrombosis",4,9,14,19,24,29,35,50,66,82,98,114,130
"39 Dexamethasone + Acute myocardial infarction",3,8,13,18,23,28,31,43,59,75,91,107,123
"42 Dexamethasone + Appendicitis",3,8,13,18,23,28,33,44,60,76,92,108,124
"44 Dexamethasone + Cerebral infarction",3,8,13,18,23,28,39,49,65,81,97,113,129
"47 Dexamethasone + Encephalopathy",3,8,13,18,23,28,36,47,63,79,95,111,127
"49 Dexamethasone + Facial paralysis",3,8,13,18,23,28,34,45,61,77,93,109,125
"51 Dexamethasone + Myocardial ischaemia",3,8,13,18,23,28,31,43,59,75,91,107,123
"52 Dexamethasone + Pericardial effusion",3,8,13,18,23,28,38,48,64,80,96,112,128
"58 Dexamethasone + Thrombosis",3,8,13,18,23,28,35,46,62,78,94,110,126
"59 Dexamethasone + Venous thrombosis",3,8,13,18,23,28,35,46,62,78,94,110,126
"61 Dexamethasone + Acute coronary syndrome",3,8,13,18,23,28,31,43,59,75,91,107,123
"63 Dexamethasone + Ischaemic stroke",3,8,13,18,23,28,39,49,65,81,97,113,129
"65 Prednisolone + Circulatory collapse",5,10,15,20,25,30,32,52,68,84,100,116,132
"68 Prednisolone + Encephalopathy",5,10,15,20,25,30,36,55,71,87,103,119,135
"70 Prednisolone + Phlebitis",5,10,15,20,25,30,35,54,70,86,102,118,134
"71 Prednisolone + Polyneuropathy",5,10,15,20,25,30,37,56,72,88,104,120,136
"76 Prednisolone + Abdominal abscess",5,10,15,20,25,30,33,53,69,85,101,117,133
"81 Cyclophosphamide + Appendicitis",2,7,12,17,22,27,33,42,58,74,90,106,122
