"DEC","cohortId_1a","cohortId_1b","cohortId_1c","cohortId_2a","cohortId_2b","cohortId_2c","cohortId_3","cohortId_4a","cohortId_4b","cohortId_4c","cohortId_5a","cohortId_5b","cohortId_5c"
"1 Heparin + Cerebral infarction",71,233,395,557,719,881,985,1147,1496,1845,2194,2543,2892
"2 Teriflunomide + Appendicitis",151,313,475,637,799,961,975,1315,1664,2013,2362,2711,3060
"3 Dexamethasone + Myocardial ischaemia",42,204,366,528,690,852,973,1074,1423,1772,2121,2470,2819
"4 Fluconazole + Encephalopathy",60,222,384,546,708,870,979,1123,1472,1821,2170,2519,2868
"5 Prednisone + Thrombosis",127,289,451,613,775,937,977,1261,1610,1959,2308,2657,3006
"6 Fluorouracil + Pulmonary embolism",62,224,386,548,710,872,986,1127,1476,1825,2174,2523,2872
"7 Enoxaparin + Embolism",50,212,374,536,698,860,977,1099,1448,1797,2146,2495,2844
"7 Enoxaparin + Embolism",50,212,374,536,698,860,986,1102,1451,1800,2149,2498,2847
"8 Enoxaparin + Embolism",50,212,374,536,698,860,977,1099,1448,1797,2146,2495,2844
"8 Enoxaparin + Embolism",50,212,374,536,698,860,986,1102,1451,1800,2149,2498,2847
"9 Naproxen + Anaphylactoid reaction",107,269,431,593,755,917,974,1220,1569,1918,2267,2616,2965
"10 Cyclophosphamide + Appendicitis",39,201,363,525,687,849,975,1057,1406,1755,2104,2453,2802
"11 Testosterone + Pulmonary embolism",152,314,476,638,800,962,986,1317,1666,2015,2364,2713,3062
"12 Carboplatin + Pericardial effusion",21,183,345,507,669,831,983,1025,1374,1723,2072,2421,2770
"13 Oxaliplatin + Myocardial ischaemia",117,279,441,603,765,927,973,1238,1587,1936,2285,2634,2983
"14 Glatiramer + Anaphylactic reaction",69,231,393,555,717,879,974,1140,1489,1838,2187,2536,2885
"15 Cyclophosphamide + Encephalitis",39,201,363,525,687,849,979,1059,1408,1757,2106,2455,2804
"16 Cyclophosphamide + Endocarditis",39,201,363,525,687,849,983,1063,1412,1761,2110,2459,2808
"17 Rivaroxaban + Immune thrombocytopenia",138,300,462,624,786,948,982,1290,1639,1988,2337,2686,3035
"18 Dabigatran + Cerebral artery embolism",41,203,365,527,689,851,985,1072,1421,1770,2119,2468,2817
"19 Everolimus + Cardiomyopathy",55,217,379,541,703,865,983,1112,1461,1810,2159,2508,2857
"20 Morphine + Anaphylactic reaction",104,266,428,590,752,914,974,1210,1559,1908,2257,2606,2955
"21 Cyclophosphamide + Encephalopathy",39,201,363,525,687,849,979,1059,1408,1757,2106,2455,2804
"22 Methylprednisolone + Disseminated intravascular coagulation",98,260,422,584,746,908,978,1200,1549,1898,2247,2596,2945
"23 Propofol + Disseminated intravascular coagulation",130,292,454,616,778,940,978,1270,1619,1968,2317,2666,3015
"24 Esomeprazole + Sleep disorder",54,216,378,540,702,864,984,1110,1459,1808,2157,2506,2855
"25 Epirubicin + Thrombocytopenia",51,213,375,537,699,861,982,1104,1453,1802,2151,2500,2849
"26 Amiodarone + Thrombophlebitis",5,167,329,491,653,815,977,995,1344,1693,2042,2391,2740
"27 Ifosfamide + Thrombocytopenia",75,237,399,561,723,885,982,1157,1506,1855,2204,2553,2902
"28 Heparin + Circulatory collapse",71,233,395,557,719,881,974,1143,1492,1841,2190,2539,2888
"29 Pregabalin + Sleep disorder",128,290,452,614,776,938,984,1266,1615,1964,2313,2662,3011
"30 Fentanyl + Circulatory collapse",57,219,381,543,705,867,974,1115,1464,1813,2162,2511,2860
"31 Fulvestrant + Thrombocytopenia",65,227,389,551,713,875,982,1130,1479,1828,2177,2526,2875
"32 Propranolol + Sleep disorder",131,293,455,617,779,941,984,1271,1620,1969,2318,2667,3016
"33 Gemcitabine + Encephalopathy",68,230,392,554,716,878,979,1137,1486,1835,2184,2533,2882
"34 Levothyroxine + Sleep disorder",86,248,410,572,734,896,984,1179,1528,1877,2226,2575,2924
"35 Methylprednisolone + Anaphylactic reaction",98,260,422,584,746,908,974,1199,1548,1897,2246,2595,2944
"36 Morphine + Encephalopathy",104,266,428,590,752,914,979,1212,1561,1910,2259,2608,2957
"37 Tadalafil + Sleep disorder",149,311,473,635,797,959,984,1313,1662,2011,2360,2709,3058
"38 Heparin + Acute myocardial infarction",71,233,395,557,719,881,973,1142,1491,1840,2189,2538,2887
"39 Clozapine + Troponin T increased",38,200,362,524,686,848,973,1052,1401,1750,2099,2448,2797
"40 Cyclophosphamide + Thrombosis",39,201,363,525,687,849,977,1058,1407,1756,2105,2454,2803
"41 Vancomycin + Thrombophlebitis",157,319,481,643,805,967,977,1327,1676,2025,2374,2723,3072
"42 Exemestane + Thrombocytopenia",56,218,380,542,704,866,982,1114,1463,1812,2161,2510,2859
"43 Clopidogrel + Haemorrhage intracranial",37,199,361,523,685,847,981,1048,1397,1746,2095,2444,2793
"44 Ribavirin + Thrombocytopenia",135,297,459,621,783,945,982,1278,1627,1976,2325,2674,3023
"45 Paclitaxel + Disseminated intravascular coagulation",119,281,443,605,767,929,978,1245,1594,1943,2292,2641,2990
"46 Carboplatin + Thrombosis",21,183,345,507,669,831,977,1023,1372,1721,2070,2419,2768
"47 Olanzapine + Myocarditis",113,275,437,599,761,923,983,1233,1582,1931,2280,2629,2978
"48 Dexamethasone + Ischaemic stroke",42,204,366,528,690,852,985,1081,1430,1779,2128,2477,2826
"49 Clozapine + Pericardial effusion",38,200,362,524,686,848,983,1054,1403,1752,2101,2450,2799
"50 Fingolimod + Sleep disorder",59,221,383,545,707,869,984,1121,1470,1819,2168,2517,2866
"51 Tramadol + Encephalopathy",155,317,479,641,803,965,979,1323,1672,2021,2370,2719,3068
"52 Heparin + Thrombocytopenia",71,233,395,557,719,881,982,1146,1495,1844,2193,2542,2891
"53 Gabapentin + Sleep disorder",67,229,391,553,715,877,984,1134,1483,1832,2181,2530,2879
"54 Anastrozole + Sleep disorder",10,172,334,496,658,820,984,1005,1354,1703,2052,2401,2750
"55 Nitrofurantoin + Polyneuropathy",110,272,434,596,758,920,980,1225,1574,1923,2272,2621,2970
"56 Paclitaxel + Pericardial effusion",119,281,443,605,767,929,983,1247,1596,1945,2294,2643,2992
"57 Tacrolimus + Cerebral haemorrhage",148,310,472,634,796,958,981,1309,1658,2007,2356,2705,3054
"58 Medroxyprogesterone + Pulmonary embolism",91,253,415,577,739,901,986,1187,1536,1885,2234,2583,2932
"59 Gemcitabine + Ischaemic stroke",68,230,392,554,716,878,985,1139,1488,1837,2186,2535,2884
"60 Ranitidine + Thrombocytopenia",134,296,458,620,782,944,982,1277,1626,1975,2324,2673,3022
"61 Paclitaxel + Thrombocytopenia",119,281,443,605,767,929,982,1246,1595,1944,2293,2642,2991
"62 Tacrolimus + Abdominal abscess",148,310,472,634,796,958,975,1306,1655,2004,2353,2702,3051
"63 Rivaroxaban + Vena cava thrombosis",138,300,462,624,786,948,977,1287,1636,1985,2334,2683,3032
"64 Carfilzomib + Deep vein thrombosis",22,184,346,508,670,832,977,1027,1376,1725,2074,2423,2772
"65 Apixaban + Ischaemic stroke",11,173,335,497,659,821,985,1010,1359,1708,2057,2406,2755
"66 Doxorubicin + Thrombocytopenia",47,209,371,533,695,857,982,1093,1442,1791,2140,2489,2838
"67 Letrozole + Cerebral infarction",83,245,407,569,731,893,985,1174,1523,1872,2221,2570,2919
"68 Ciprofloxacin + Anaphylactic reaction",30,192,354,516,678,840,974,1037,1386,1735,2084,2433,2782
"69 Paclitaxel + Cardiomyopathy",119,281,443,605,767,929,983,1247,1596,1945,2294,2643,2992
"70 Imatinib + Thrombocytopenia",76,238,400,562,724,886,982,1159,1508,1857,2206,2555,2904
"71 Ticagrelor + Cerebrovascular accident",153,315,477,639,801,963,985,1320,1669,2018,2367,2716,3065
"72 Carboplatin + Deep vein thrombosis",21,183,345,507,669,831,977,1023,1372,1721,2070,2419,2768
"73 Bisoprolol + Circulatory collapse",15,177,339,501,663,825,974,1014,1363,1712,2061,2410,2759
"74 Clopidogrel + Thrombosis",37,199,361,523,685,847,977,1047,1396,1745,2094,2443,2792
"75 Simvastatin + Polyneuropathy",144,306,468,630,792,954,980,1299,1648,1997,2346,2695,3044
"76 Doxorubicin + Phlebitis",47,209,371,533,695,857,977,1092,1441,1790,2139,2488,2837
"77 Heparin + Ischaemic stroke",71,233,395,557,719,881,985,1147,1496,1845,2194,2543,2892
"78 Methotrexate + Thrombosis",96,258,420,582,744,906,977,1193,1542,1891,2240,2589,2938
"79 Doxycycline + Anaphylactic shock",48,210,372,534,696,858,974,1096,1445,1794,2143,2492,2841
"80 Ondansetron + Anaphylactic shock",115,277,439,601,763,925,974,1236,1585,1934,2283,2632,2981
"81 Sunitinib + Pericardial effusion",147,309,471,633,795,957,983,1304,1653,2002,2351,2700,3049
"82 Midazolam + Encephalopathy",101,263,425,587,749,911,979,1206,1555,1904,2253,2602,2951
"83 Triamcinolone + Sleep disorder",156,318,480,642,804,966,984,1325,1674,2023,2372,2721,3070
"84 Pioglitazone + Myocardial infarction",123,285,447,609,771,933,973,1251,1600,1949,2298,2647,2996
"85 Dabigatran + Cerebral artery occlusion",41,203,365,527,689,851,985,1072,1421,1770,2119,2468,2817
"86 Prednisolone + Disseminated intravascular coagulation",126,288,450,612,774,936,978,1255,1604,1953,2302,2651,3000
"87 Methylphenidate + Cerebral infarction",97,259,421,583,745,907,985,1197,1546,1895,2244,2593,2942
"88 Rivaroxaban + Carotid artery stenosis",138,300,462,624,786,948,985,1292,1641,1990,2339,2688,3037
"89 Omeprazole + Anaphylactoid reaction",114,276,438,600,762,924,974,1235,1584,1933,2282,2631,2980
"90 Ticagrelor + Haemorrhage intracranial",153,315,477,639,801,963,981,1319,1668,2017,2366,2715,3064
"91 Ciprofloxacin + Polyneuropathy",30,192,354,516,678,840,980,1039,1388,1737,2086,2435,2784
"92 Ramipril + Circulatory collapse",133,295,457,619,781,943,974,1274,1623,1972,2321,2670,3019
"93 Gemcitabine + Acute myocardial infarction",68,230,392,554,716,878,973,1135,1484,1833,2182,2531,2880
"94 Heparin + Subarachnoid haemorrhage",71,233,395,557,719,881,981,1145,1494,1843,2192,2541,2890
"95 Clopidogrel + Myocardial ischaemia",37,199,361,523,685,847,973,1046,1395,1744,2093,2442,2791
"96 Clopidogrel + Pericardial effusion",37,199,361,523,685,847,983,1050,1399,1748,2097,2446,2795
"97 Fentanyl + Hypersomnia",57,219,381,543,705,867,984,1116,1465,1814,2163,2512,2861
"98 Ifosfamide + Encephalopathy",75,237,399,561,723,885,979,1156,1505,1854,2203,2552,2901
"99 Rivaroxaban + Thrombophlebitis",138,300,462,624,786,948,977,1287,1636,1985,2334,2683,3032
"100 Fentanyl + Anaphylactic shock",57,219,381,543,705,867,974,1115,1464,1813,2162,2511,2860
"101 Ofloxacin + Thrombocytopenia",112,274,436,598,760,922,982,1230,1579,1928,2277,2626,2975
"102 Prednisone + Cardiomyopathy",127,289,451,613,775,937,983,1263,1612,1961,2310,2659,3008
